Date_ymd, Time_Absolute_hms, Time_Relative_hms, Time_Relative_s, Time_Lag_s, Duration_s, Observation_Name, Log_File_Name, Actor, Behavior, Receiver, Modifier_1, Modifier_2, Modifier_3, Modifier_4, Modifier_5, Modifier_6, Other_Modifiers, Event_Type, Observer_ID
5/14/2017, 09:48:59, 00:00:00,0,0.3,1.834," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""1-APremating""",,,,,,,,, State start,23
5/14/2017, 09:49:01, 00:00:01,1.834,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""1-APremating""",,,,,,,,, State stop,23
5/14/2017, 09:49:01, 00:00:01,1.834,3.217,108.342," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:49:11, 00:00:12,12.184,2.2,97.992," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:49:25, 00:00:26,26.086,1.35,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:49:29, 00:00:29,29.97,1.733,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:49:37, 00:00:38,38.32,1.767,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:49:42, 00:00:43,43.27,2.25,66.906," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:49:51, 00:00:52,52.421,1.95,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:50:02, 00:01:03,63.272,1.05,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:50:15, 00:01:16,76.489,1.9,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:50:44, 00:01:45,105.059,1.416,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:50:49, 00:01:50,110.176,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:50:49, 00:01:50,110.176,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:50:49, 00:01:50,110.176,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:50:49, 00:01:50,110.176,1.2,77.741," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:50:52, 00:01:52,112.976,8.184,74.941," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:51:03, 00:02:04,124.144,1.783,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:51:08, 00:02:08,128.927,1.267,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:51:17, 00:02:18,138.162,1.9,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:51:23, 00:02:24,144.345,4.668,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:51:31, 00:02:31,151.763,12.201,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:51:52, 00:02:53,173.248,0.916,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:52:07, 00:03:07,187.917,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:52:07, 00:03:07,187.917,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:52:07, 00:03:07,187.917,5.15,20.15," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:52:14, 00:03:14,194.867,2.5,13.2," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:52:23, 00:03:23,203.817,1.316,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:52:27, 00:03:28,208.067,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:52:27, 00:03:28,208.067,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:52:27, 00:03:28,208.067,1.417,51.071," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:52:51, 00:03:51,231.869,1.1,27.269," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:53:18, 00:04:19,259.138,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:53:18, 00:04:19,259.138,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:53:18, 00:04:19,259.138,1.15,111.91," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:53:28, 00:04:28,268.806,1.617,102.242," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:53:45, 00:04:46,286.008,1.05,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:53:51, 00:04:52,292.374,1.284,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:54:23, 00:05:24,324.127,1.551,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:54:42, 00:05:43,343.379,2.083,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Flehmen"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:54:59, 00:05:59,359.814,10.018,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Reverse mark"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:55:10, 00:06:11,371.048,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:55:10, 00:06:11,371.048,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:55:10, 00:06:11,371.048,31.936,65.422," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:55:45, 00:06:46,406.218,1.15,30.253," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:56:00, 00:07:01,421.219,1.333,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Squat mark"""," ""0-Nondirected""",,,,,,,, Point,23
5/14/2017, 09:56:15, 00:07:16,436.471,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:56:15, 00:07:16,436.471,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:56:15, 00:07:16,436.471,0.85,17.118," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:56:33, 00:07:33,453.589,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:56:33, 00:07:33,453.589,1.483,22.202," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:56:37, 00:07:38,458.106,1.45,17.685," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:56:45, 00:07:46,466.406,1.4,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Squat mark"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:56:55, 00:07:55,475.791,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:56:55, 00:07:55,475.791,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:56:55, 00:07:55,475.791,3.566,5.75," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:57:00, 00:08:01,481.541,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:57:00, 00:08:01,481.541,1.55,19.835," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State start,23
5/14/2017, 09:57:20, 00:08:21,501.376,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Nondirected""",,,,,,,, State stop,23
5/14/2017, 09:57:20, 00:08:21,501.376,1,25.553," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Humans""",,,,,,,, State start,23
5/14/2017, 09:57:46, 00:08:46,526.928,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""0-Humans""",,,,,,,, State stop,23
5/14/2017, 09:57:46, 00:08:46,526.928,10.367,90.35," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:57:57, 00:08:58,538.179,4.667,79.099," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Body length <1"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:58:06, 00:09:06,546.78,1.2,70.499," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:58:16, 00:09:17,557.347,1.783,59.931," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 09:58:42, 00:09:42,582.849,1.283,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Lick"""," ""M-Wu Gang""",,,,,,,, Point,23
5/14/2017, 09:59:11, 00:10:11,611.895,0.466,141.012," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""1-End state""",,,,,,,,, State start,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Body length <1"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Olfactory investigate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Show interest"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 09:59:16, 00:10:17,617.279,1.117,52.155," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:00:08, 00:11:09,669.434,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:00:08, 00:11:09,669.434,1.399,29.269," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:00:38, 00:11:38,698.702,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:00:38, 00:11:38,698.702,0.966,9.601," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:00:47, 00:11:48,708.303,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Locomote"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:00:47, 00:11:48,708.303,2.283,15.401," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Defecate"""," ""M-Wu Gang""",,,,,,,, State start,23
5/14/2017, 10:01:03, 00:12:03,723.704,0,0," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Defecate"""," ""M-Wu Gang""",,,,,,,, State stop,23
5/14/2017, 10:01:03, 00:12:03,723.704,1.466,29.203," ""FocalAnimal_M-An An"""," ""LogFocalAnimal_M-An An 20170514_094859.csv"""," ""M-An An"""," ""Stationary alert"""," ""M-Wu Gang""",,,,,,,, State start,23
